date;Valor_Real;Valor_Predicho;Modelo;Tipo_Mercado;Periodo;Version
16/04/2021;1,1983;1,1983;MLP;EUR;Training;Trial_10
19/04/2021;1,2033;1,2033;MLP;EUR;Training;Trial_10
20/04/2021;1,2033;1,2033;MLP;EUR;Training;Trial_10
21/04/2021;1,2033;1,2033;MLP;EUR;Training;Trial_10
22/04/2021;1,2015;1,2015;MLP;EUR;Training;Trial_10
23/04/2021;1,2099;1,2099;MLP;EUR;Training;Trial_10
26/04/2021;1,2083;1,2083;MLP;EUR;Training;Trial_10
27/04/2021;1,209;1,209;MLP;EUR;Training;Trial_10
28/04/2021;1,2123;1,2123;MLP;EUR;Training;Trial_10
29/04/2021;1,2118;1,2118;MLP;EUR;Training;Trial_10
30/04/2021;1,2018;1,2018;MLP;EUR;Training;Trial_10
3/05/2021;1,2061;1,2061;MLP;EUR;Training;Trial_10
4/05/2021;1,2013;1,2013;MLP;EUR;Training;Trial_10
5/05/2021;1,2005;1,2005;MLP;EUR;Training;Trial_10
6/05/2021;1,2064;1,2064;MLP;EUR;Training;Trial_10
7/05/2021;1,2163;1,2163;MLP;EUR;Training;Trial_10
10/05/2021;1,2129;1,2129;MLP;EUR;Training;Trial_10
11/05/2021;1,2146;1,2146;MLP;EUR;Training;Trial_10
12/05/2021;1,2069;1,2069;MLP;EUR;Training;Trial_10
13/05/2021;1,2078;1,2078;MLP;EUR;Training;Trial_10
14/05/2021;1,214;1,214;MLP;EUR;Training;Trial_10
17/05/2021;1,2151;1,2151;MLP;EUR;Training;Trial_10
18/05/2021;1,222;1,222;MLP;EUR;Training;Trial_10
19/05/2021;1,2172;1,2172;MLP;EUR;Training;Trial_10
20/05/2021;1,2226;1,2226;MLP;EUR;Training;Trial_10
21/05/2021;1,2179;1,2179;MLP;EUR;Training;Trial_10
24/05/2021;1,2215;1,2215;MLP;EUR;Training;Trial_10
